Type,Name,Priority,Content,TTL
TXT,mailo._domainkey,0,"""k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDkp6i63JTX5Ww3ReU1NBPo6tH1/YapLjXEXeaHXX6CsYhPzDjZh2I1TJxf+dxpcY7/z6OhVeIp6raKRd7Iiu0GQ5ZNrbz2OQ1MR4cFf4tCdDK2CO4F2dGSgkkdNglBTPT3fmNGWU7JLh4sBrBIaMzLVJ8zusi/fF09mTeqwXEEVQIDAQAB""",14400
TXT,mail._domainkey,0,"""v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1AXZNilx9dA97xwkWhvtnDav1TImw8FEAM5ApqxTcPaAtxFhRr7XRt0l0AsZvJR26xaMEyOlKZkQgAyL9HYvz/xvw6lM7jOCLz7nqHAPd3ygnDMAREA1UImI9WoEqOJVXnpJbDullSzowJ2M7Wea9wWExRVbsu9Nny02bFy+6boisJtfGCJ2XgkWcRw9oeBzAPUpz3+pRoEHsGFYzBU01AEf2ReExHEzcgRgaTAUyJlLwUkJv6NOS4CF77C5GMWqvV2bjyGO5HKjB6H8r6KlPIteoIv/iBqJfUeCEi5x+7EMnESgUUXprDta1EHFiWGvpVqYRCLjG8QLSMrhaCxr6QIDAQAB""",14400
CNAME,hostingermail-c._domainkey,0,hostingermail-c.dkim.mail.hostinger.com,300
CNAME,hostingermail-b._domainkey,0,hostingermail-b.dkim.mail.hostinger.com,300
CNAME,hostingermail-a._domainkey,0,hostingermail-a.dkim.mail.hostinger.com,300
CNAME,www,0,www.channelcast.io.cdn.hstgr.net,300
A,agent,0,72.62.131.64,14400
A,meet,0,31.97.12.201,14400
A,chat,0,31.97.12.201,14400
A,agents,0,72.62.131.64,14400
A,vps,0,72.62.131.64,14400
A,os,0,31.97.12.201,14400
A,xms,0,212.1.210.157,3600
A,api.sms,0,31.97.12.201,14400
A,sms,0,31.97.12.201,14400
A,ads,0,31.97.12.201,14400
CNAME,autodiscover,0,autodiscover.mail.hostinger.com,300
A,meetup,0,31.97.12.201,14400
A,hop,0,72.62.131.64,14400
A,video,0,31.97.12.201,14400
A,vpn,0,31.97.12.201,14400
ALIAS,crm,0,crm.channelcast.io.cdn.hstgr.net,300
TXT,crm,0,"""v=spf1 include:amazonses.com ~all""",14400
A,call,0,31.97.12.201,14400
A,email,0,212.1.210.157,14400
A,redial,0,31.97.12.201,14400
A,social,0,212.1.210.157,14400
A,ai,0,72.62.131.64,14400
A,marketing,0,212.1.210.157,14400
A,ping,0,31.97.12.201,14400
CNAME,autoconfig,0,autoconfig.mail.hostinger.com,300
A,automate,0,31.97.12.201,14400
A,clone,0,72.62.131.64,14400
A,fund,0,72.62.131.64,14400
A,send,0,212.1.210.157,14400
TXT,_dmarc,0,"""v=DMARC1; p=none""",3600
A,21,0,72.62.131.64,14400
ALIAS,@,0,channelcast.io.cdn.hstgr.net,300
CAA,@,0,"0 issuewild ""letsencrypt.org""",14400
CAA,@,0,"0 issue ""sectigo.com""",14400
CAA,@,0,"0 issue ""comodoca.com""",14400
CAA,@,0,"0 issue ""digicert.com""",14400
CAA,@,0,"0 issue ""globalsign.com""",14400
CAA,@,0,"0 issue ""letsencrypt.org""",14400
CAA,@,0,"0 issuewild ""sectigo.com""",14400
CAA,@,0,"0 issuewild ""pki.goog""",14400
CAA,@,0,"0 issuewild ""globalsign.com""",14400
CAA,@,0,"0 issuewild ""digicert.com""",14400
CAA,@,0,"0 issuewild ""comodoca.com""",14400
CAA,@,0,"0 issue ""pki.goog""",14400
TXT,@,0,"""v=spf1 include:_spf.mail.hostinger.com ~all""",14400
MX,@,5,mx1.hostinger.com,14400
MX,@,10,mx2.hostinger.com,14400
